monkey_raise_plr,,weps/monkey/monkey_raise_plr.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_throw,,weps/monkey/throw_00.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,,
monk_turn_key,,weps/monkey/monkey_ratchet.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monk_push_fez,,null.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,

monkey_raise_vox_plr,1,weps/monkey/raise_vox_00.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,2,weps/monkey/raise_vox_01.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,3,weps/monkey/raise_vox_02.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,4,weps/monkey/raise_vox_03.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,5,weps/monkey/raise_vox_04.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,6,weps/monkey/raise_vox_05.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,7,weps/monkey/raise_vox_06.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,8,weps/monkey/raise_vox_07.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,9,weps/monkey/raise_vox_08.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,10,weps/monkey/raise_vox_09.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_raise_vox_plr,11,weps/monkey/raise_vox_10.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,

monkey_land_wood,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_rock,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_dirt,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_default,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_bark,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_brick,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_carpet,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_cloth,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_concrete,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_foliage,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_glass,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_grass,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_gravel,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_ice,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_metal,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_mud,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_paper,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_plaster,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_sand,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_snow,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_water,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_asphalt,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_ceramic,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_plastic,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_rubber,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_cushion,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_fruit,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
monkey_land_paintedmetal,,weps/monkey/satchel_plant.mp3,1,,music,,,,,auto2d,streamed,,,master,all_mp,,,,,,music,nowetlevel fulldrylevel,,,,,,
